Institution,State,Historically_Black,Predominantly_Black,Alask_Nat_Nat_Hawaiian_Serving,Tribal,Asian_American_Pacific_Islander_Serving,Hispanic_Serving,Native_American_Nontribal,Men_only,Women_only,Acceptance_rate,Average_SAT,Average_Cost_Of_Attendance,Avg_Net_Price_Pub_0_To_30000_Income,Avg_Net_Price_Pub_30000_To_48000_Income,Avg_Net_Price_Pub_48001_To_75000_Income,Avg_Net_Price_Pub_75001_To_110000_Income,Avg_Net_Price_Pub_110001_To_Inf_Income,Avg_Net_Price_Priv_0_To_30000_Income,Avg_Net_Price_Priv_30000_To_48000_Income,Avg_Net_Price_Priv_48001_To_75000_Income,Avg_Net_Price_Priv_75001_To_110000_Income,Avg_Net_Price_Priv_110001_To_Inf_Income,Perc_Undergrad_White,Perc_Undergrad_Black,Perc_Undergrad_Hispanic,Perc_Undergrad_Asian,Perc_Undergrad_Am_Indian_Alask_Native,Perc_Native_Hawaiin_Pac_Islander,Perc_Two_Or_More_Races,Perc_Receiving_Loan,Med_Loan_Debt,Inst_Loan_Debt,Socioeconomic_Div,White_Compl_Rate,Black_Compl_Rate,Hisp_Compl_Rate,Asian_Compl_Rate,Asian_Am_Pac_Islander_Compl_Rate,Native_Am_Pac_Islander_Compl_Rate,Two_Or_More_Races_Compl_Rate,Med_earnings
California State University-Fresno,CA,0,0,0,0,1,1,0,0,0,0.9543,NA,17508,4638,5206,8131,12374,15989,NA,NA,NA,NA,NA,0.1594,0.0289,0.6131,0.1229,0.0028,0.0013,0.0234,0.1734,12463,13883,0.591,0.6552,0.3776,0.5705,0.5054,0.5556,0.3333,0.5481,48500
California State University-Fullerton,CA,0,0,0,0,1,1,0,0,0,0.6672,NA,17337,4386,5062,7821,12413,15867,NA,NA,NA,NA,NA,0.155,0.0216,0.5231,0.2224,9e-4,0.0015,0.0363,0.1997,12000,16810,0.4801,0.7468,0.625,0.6571,0.7518,0.6,0.5714,0.6891,51800
California State University-East Bay,CA,0,0,0,0,1,1,0,0,0,0.962,NA,20693,7943,8968,11872,15742,19432,NA,NA,NA,NA,NA,0.1544,0.091,0.4046,0.2278,0.0018,0.0106,0.051,0.2657,12500,14945,0.4438,0.5528,0.4425,0.4151,0.5619,0.5,0.5,0.3882,58200
California State University-Long Beach,CA,0,0,0,0,1,1,0,0,0,0.3995,NA,18983,5409,6074,9532,13656,17677,NA,NA,NA,NA,NA,0.1544,0.0356,0.4995,0.2197,0.0011,0.0023,0.0446,0.2273,12227,14000,0.4985,0.77,0.6216,0.704,0.7827,0.7143,0.4,0.7013,53000
California State University-Los Angeles,CA,0,0,0,0,1,1,0,0,0,0.8694,NA,17010,3717,4294,7289,10510,15213,NA,NA,NA,NA,NA,0.0443,0.0391,0.7569,0.1109,0.0011,6e-4,0.0145,0.1883,11966,12000,0.6633,0.4571,0.3836,0.5052,0.6744,0,0.2857,0.4737,49900
California State University-Northridge,CA,0,0,0,0,0,1,0,0,0,0.9123,NA,19585,5865,6553,10150,14276,18110,NA,NA,NA,NA,NA,0.1958,0.0493,0.5644,0.0914,6e-4,0.0016,0.0302,0.213,12000,11000,0.5667,0.6803,0.4111,0.5349,0.6644,0.25,0.5714,0.5849,49700
California State University-Sacramento,CA,0,0,0,0,1,1,0,0,0,0.9321,NA,21396,7900,8563,11829,16182,19866,NA,NA,NA,NA,NA,0.2245,0.0645,0.3886,0.2039,0.0027,0.0098,0.0575,0.2435,12500,15855,0.5048,0.5753,0.4303,0.5264,0.574,0.125,0.5833,0.567,54200
University of California-Berkeley,CA,0,0,0,0,1,0,0,0,0,0.1133,NA,41130,9236,10294,14213,22151,36217,NA,NA,NA,NA,NA,0.2026,0.0207,0.2035,0.3506,0.0011,0.0014,0.0599,0.1632,12000,29489,0.2706,0.9522,0.8065,0.8747,0.9628,1,0.9333,0.9196,79000
University of California-Davis,CA,0,0,0,0,1,0,0,0,0,0.3734,NA,36975,9089,10258,13232,18376,31575,NA,NA,NA,NA,NA,0.2117,0.0175,0.2401,0.3118,8e-4,0.0026,0.0616,0.2245,11000,23875,0.3282,0.8754,0.7778,0.8047,0.9084,1,0.76,0.8953,68100
University of California-Irvine,CA,0,0,0,0,1,1,0,0,0,0.2115,NA,34731,7621,8139,11095,17614,29565,NA,NA,NA,NA,NA,0.1309,0.02,0.265,0.3809,0.0013,0.0014,0.0561,0.2105,13820,21548,0.3788,0.8683,0.7731,0.8075,0.9206,1,0.8235,0.847,65800
